bj-pays,das,decks,don,hitSplitAces,peek,reSplitAces,sas,ss17,surr,csm_theoretical,csm_empiric,cut_theoretical,cut_empiric,csm_error,cut_card_error,abs_error_sum
1.2,True,2,10-11,False,False,False,2,False,2-10,2.0859,-1.9312,2.1488,-2.0075,0.1547,0.1414,0.29610000000000003
1.2,False,1,10-11,False,False,False,3,True,2-10,1.7432,-1.5862,1.8562,-1.7172,0.157,0.139,0.29600000000000004
1.2,False,2,10-11,True,False,True,2,False,2-10,2.0398,-1.8896,2.1028,-1.9575,0.1502,0.1453,0.2955
1.2,True,6,9-11,True,False,False,4,False,2-10,1.9313,-1.7778,1.9513,-1.8093,0.1535,0.142,0.2955
1.5,False,2,10-11,False,False,True,3,False,2-10,0.7525,-0.5955,0.8155,-0.6774,0.157,0.1381,0.29510000000000003
1.2,False,2,10-11,False,False,False,2,False,2-10,2.1926,-2.0419,2.2556,-2.1115,0.1507,0.1441,0.2948
1.5,True,6,10-11,True,False,True,2,False,2-10,0.7154,-0.5651,0.7354,-0.591,0.1503,0.1444,0.29469999999999996
1.2,True,6,10-11,True,False,False,3,False,2-10,2.0336,-1.8873,2.0536,-1.9053,0.1463,0.1483,0.2946
1.2,False,6,Any,True,False,True,3,False,2-10,1.9278,-1.7757,1.9478,-1.8054,0.1521,0.1424,0.2945
1.2,True,6,9-11,True,False,False,2,False,2-10,1.9822,-1.8334,2.0021,-1.8563,0.1487,0.1458,0.2945
1.5,True,2,10-11,False,False,True,4,False,2-10,0.6217,-0.4688,0.6847,-0.5431,0.1529,0.1415,0.2944
1.5,False,2,9-11,False,False,True,2,False,2-10,0.7184,-0.5575,0.7814,-0.6477,0.1608,0.1336,0.2944
1.2,False,1,10-11,False,False,False,4,True,2-10,1.7422,-1.5831,1.8552,-1.7205,0.1591,0.1347,0.29379999999999995
1.2,False,2,10-11,True,False,True,3,False,2-10,1.9802,-1.8276,2.0432,-1.9023,0.1526,0.141,0.29359999999999997
1.5,True,6,Any,True,False,False,2,False,2-10,0.51,-0.3595,0.53,-0.3869,0.1505,0.143,0.2935
1.5,False,2,10-11,True,False,True,4,False,2-10,0.5985,-0.4477,0.6614,-0.5187,0.1507,0.1427,0.2934
1.5,False,6,Any,True,False,True,4,False,2-10,0.5549,-0.404,0.5749,-0.433,0.1509,0.1419,0.2928
1.5,False,2,9-11,True,False,False,2,False,2-10,0.5655,-0.4126,0.6286,-0.4891,0.1529,0.1395,0.2924
1.5,False,2,9-11,True,False,True,2,False,2-10,0.5655,-0.4151,0.6286,-0.4866,0.1504,0.1419,0.2923
1.2,False,2,Any,False,False,True,3,False,2-10,1.9117,-1.7554,1.9747,-1.839,0.1563,0.1357,0.292
1.2,True,2,Any,False,False,False,2,False,2-10,1.8523,-1.6941,1.9153,-1.7816,0.1582,0.1337,0.29190000000000005
1.2,True,2,10-11,True,False,True,2,False,2-10,1.933,-1.7878,1.996,-1.8495,0.1452,0.1465,0.29169999999999996
